env,lag,acf_p50,acf_p25,acf_p75,pacf_p50,bo_cap_pct
E2,176,0.004406,-0.025571,0.079576,,0.668165
E2,177,0.003238,-0.025968,0.070119,,0.668479
E2,178,-0.00238,-0.027099,0.072785,,0.668793
E2,179,0.00154,-0.026299,0.062499,,0.669108
E2,180,0.024952,-0.015821,0.120652,,0.669423
E2,181,0.00755,-0.023998,0.061916,,0.669738
E2,182,0.000326,-0.02844,0.058983,,0.670054
E2,183,-0.003135,-0.030666,0.04456,,0.67037
E2,184,-0.000259,-0.025406,0.053461,,0.670686
E2,185,-0.003913,-0.029625,0.042498,,0.671003
E2,186,-0.001107,-0.025656,0.053046,,0.671319
E2,187,-0.00344,-0.029759,0.038422,,0.671636
E2,188,0.001833,-0.024529,0.055551,,0.671954
E2,189,-0.001929,-0.027641,0.040349,,0.672272
E2,190,-0.003231,-0.025992,0.053788,,0.67259
E2,191,-0.001981,-0.025918,0.050807,,0.672908
E2,192,0.021472,-0.017146,0.122078,,0.673226
E2,193,0.00232,-0.024337,0.048827,,0.673545
